ID,T1_2_1,T1_3_1,T1_3_2,T1_3_3,T1_3_4,T1_3_5,T1_2_2,T1_1_1,T1_1_2,T1_1_3,T1_1_4,T1_1_5,T1_2_3,T1_2_4,T1_2_5,T2_2_1,T2_2_2,T2_2_3,T2_2_4,T2_2_5,T2_1_1,T2_1_2,T2_1_3,T2_1_4,T2_1_5,T2_3_1,T2_3_2,T2_3_3,T2_3_4,T2_3_5
ASV1,5121,6314,5174,4940,5622,6818,6183,5535,6140,5277,3883,3158,6551,6072,5491,6742,5834,6113,6325,6060,4856,4312,4133,4135,7159,4514,7525,4137,5761,4659
ASV2,4778,5414,4736,4287,5184,6379,5660,5066,5803,4989,3564,2885,6083,5487,5051,6288,5457,5707,5912,5705,4538,4046,3908,3888,6740,4221,7271,3888,5310,4381
ASV3,1108,1346,982,2026,1120,936,1031,1084,857,931,993,755,1188,1042,984,1193,1074,1185,1022,1162,881,955,870,831,869,955,934,853,888,864
ASV4,429,631,584,827,484,723,577,434,528,404,455,388,618,613,517,600,621,681,752,539,359,333,373,365,418,410,595,366,627,503
ASV5,367,618,565,802,479,716,562,430,527,394,440,378,611,602,504,590,610,667,743,533,354,328,357,347,402,398,589,355,626,499
ASV6,404,866,456,272,388,649,529,357,702,539,260,183,674,283,426,579,507,579,605,603,461,276,368,347,775,359,627,352,394,207
ASV7,290,483,422,396,339,600,472,354,412,337,376,317,463,424,401,478,521,555,612,438,292,286,314,294,279,336,484,296,487,395
ASV8,354,383,313,546,370,450,404,351,246,287,252,218,393,492,396,417,349,408,353,383,301,228,204,203,313,236,532,257,361,230
ASV9,318,760,312,248,348,320,377,229,206,191,169,90,506,356,310,621,543,610,649,356,111,114,102,137,255,151,355,143,323,173
ASV10,116,226,203,208,184,241,165,238,209,162,207,209,151,196,140,152,137,129,156,174,187,175,200,185,171,188,184,230,237,297
ASV11,172,127,125,141,118,154,147,239,200,181,146,167,190,170,166,275,195,146,152,217,221,162,148,141,135,179,274,179,194,156
ASV12,135,178,156,365,195,156,131,123,113,93,113,101,163,180,133,156,115,149,134,196,87,91,80,78,94,104,127,90,137,102
ASV13,135,178,155,365,195,156,131,122,113,93,113,101,163,172,133,156,115,149,134,196,87,91,80,78,94,104,127,90,137,102
ASV14,126,136,137,145,123,133,211,167,171,81,102,69,178,199,177,150,131,117,119,138,95,73,84,113,239,136,32,77,148,115
ASV15,113,132,116,357,130,134,113,110,75,87,102,95,132,145,118,107,98,127,113,106,79,84,74,69,82,91,81,72,94,75
ASV16,107,117,105,352,118,119,106,82,69,77,100,90,127,136,112,103,95,118,108,99,69,77,65,66,77,83,72,65,87,64
ASV17,107,117,105,352,118,119,106,82,69,77,100,90,127,136,112,103,95,118,108,99,69,77,65,66,77,83,72,65,87,64
ASV18,107,117,105,352,118,119,106,82,69,77,100,90,127,136,112,103,95,118,108,99,69,77,65,66,77,83,72,65,87,64
ASV19,107,117,105,352,118,119,106,82,69,77,100,90,127,128,112,103,95,118,108,99,69,77,65,66,77,83,72,65,87,64
ASV20,127,117,101,113,131,164,135,103,116,72,59,41,118,149,114,145,70,95,91,112,49,74,53,53,135,75,90,78,86,57
ASV21,151,93,94,66,153,125,84,29,43,52,27,8,220,58,119,115,60,122,144,125,49,48,35,34,171,45,83,71,38,31
ASV22,150,85,87,62,146,107,82,27,39,46,26,7,216,57,119,111,59,111,128,122,46,32,30,33,171,40,82,69,29,31
ASV23,79,102,86,334,104,87,87,77,55,75,89,81,80,99,85,61,70,91,65,74,66,74,62,55,37,75,33,55,70,61
ASV24,79,95,80,330,101,80,87,76,55,75,89,81,80,99,85,61,70,91,65,74,66,74,62,55,37,75,33,55,70,61
ASV25,149,76,78,50,138,92,81,24,33,41,23,6,212,52,116,109,59,108,125,119,41,30,28,31,166,36,80,65,25,29
ASV26,149,76,78,50,138,92,81,24,33,41,23,6,212,52,116,109,59,108,125,119,41,30,28,31,166,36,80,65,25,29
ASV27,59,290,74,51,73,88,65,87,57,80,52,28,81,70,76,52,56,75,69,41,91,75,50,50,104,37,87,75,78,68
ASV28,24,35,87,37,127,134,66,7,67,21,10,7,38,57,28,24,26,33,34,22,6,3,2,3,44,59,106,12,110,39
ASV29,24,486,46,47,69,34,52,38,35,23,20,39,58,92,31,61,49,51,46,26,13,8,4,10,35,22,32,30,26,14
ASV30,39,472,39,14,58,37,68,9,28,23,18,2,101,81,30,97,69,59,54,23,6,5,2,5,45,17,34,7,32,12
ASV31,21,481,41,44,61,32,51,15,35,18,18,14,58,90,29,53,44,46,43,24,7,5,3,5,13,19,31,28,23,14
ASV32,50,69,50,47,53,66,40,20,22,23,23,35,69,63,43,93,59,48,57,40,13,11,5,14,55,20,59,17,89,34
ASV33,24,55,47,362,40,29,42,25,19,22,23,36,56,59,36,24,16,31,39,44,29,23,22,19,13,35,22,23,30,27
ASV34,48,64,49,46,45,66,39,7,22,18,21,10,69,61,42,85,54,43,54,38,8,8,4,11,53,17,58,15,86,34
ASV35,15,466,33,32,50,28,48,6,21,13,9,5,49,74,24,49,40,44,42,20,7,4,1,3,13,6,28,13,10,12
ASV36,24,257,26,27,30,41,37,51,32,39,33,15,42,47,28,25,25,31,13,15,36,41,24,27,38,24,45,30,29,54
ASV37,18,29,34,45,34,38,24,28,46,31,36,29,11,23,14,21,14,11,13,18,32,29,41,27,145,34,42,27,25,34
ASV38,31,20,24,13,39,37,34,9,14,17,11,8,52,40,32,48,31,39,50,35,12,13,11,13,41,16,61,9,23,21
ASV39,2,3,4,2,16,7,1,31,27,38,40,45,2,11,1,0,3,0,2,4,29,43,38,42,29,41,39,21,41,23
ASV40,13,14,8,4,11,2,13,23,12,14,22,8,33,8,12,18,18,27,20,82,27,17,20,20,12,5,12,14,6,16
ASV41,13,14,8,4,11,2,13,23,12,14,22,8,33,8,12,18,18,27,20,82,27,17,20,20,12,5,12,14,6,16
ASV42,6,18,20,24,40,21,10,7,28,3,8,2,9,22,13,11,11,18,21,9,6,1,3,5,30,2,25,4,10,8
ASV43,2,17,16,16,15,33,3,5,10,11,4,2,8,6,3,6,1,14,19,6,8,18,7,3,5,9,3,6,13,2
